bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,million_dollars
3,2.5,2753,65005,1,1
3,1,1190,9199,0,0
3,1.75,1260,8400,0,0
4,2.5,3450,39683,0,0
3,1.75,1960,15681,0,0
3,2.5,2070,13241,0,0
4,1,2550,4000,0,0
5,2,2260,12500,0,0
3,2.5,1910,66211,0,0
2,1,1000,10200,0,0
3,2,2220,94300,0,0
3,2,1810,7209,0,0
1,0.75,760,10079,1,0
4,2,2050,4400,0,0
4,1.75,1275,20000,0,0
1,0.75,560,12120,0,0
2,1,833,143947,0,0
4,1.75,2085,174240,0,0
5,4.25,6070,171626,0,1
3,1,940,7980,0,0
3,3,1970,20978,1,0
1,0.75,430,5050,0,0
3,2.75,3080,19635,0,0
6,5,6050,230652,0,1
3,1,1040,7405,0,0
4,1.75,2320,12000,0,0
3,1,1180,3400,0,0
2,0.75,1160,15029,0,0
3,1.75,1430,10816,0,0
4,1.75,1800,4180,0,0
4,1.75,1710,7140,0,0
3,2,1300,9644,0,0
3,3.25,2660,17852,0,0
4,1.75,2510,7440,0,0
0,0,3064,4764,0,1
4,1,1820,5400,0,1
3,1.75,1660,16275,0,0
3,1,1250,18616,0,0
3,2.25,1580,47916,0,0
2,1,970,2970,0,0
3,2.25,2000,217800,0,0
4,4.5,5670,84267,0,0
3,1,1520,2500,0,0
2,1.75,1000,1760,0,0
3,2.5,1940,4000,0,0
2,0.75,440,8313,1,0
3,1,1330,40259,0,0
2,2,2930,14057,0,0
3,1.75,1150,17585,0,0
3,2.5,1260,889,0,0
3,1.75,1410,16105,0,0
4,2.5,1980,5000,0,0
2,2.5,2410,102366,0,0
5,2.75,3030,7000,0,0
5,2.25,2120,4000,0,0
2,1,960,28717,0,0
3,1,1370,17859,0,0
3,2.75,2150,31238,0,0
3,1.75,1620,1325,0,0
3,1.5,1200,890,0,0
3,2.5,2270,100545,0,0
3,1.75,1250,10122,0,0
3,1,1500,2555,0,0
3,1,1090,10620,0,0
3,2.5,2490,21937,0,0
3,0.75,920,20412,1,0
3,1.75,1650,3200,0,0
4,2.5,3350,46748,0,0
3,1.75,1100,7224,0,0
3,1.75,1070,7200,0,0
4,2.25,2320,8760,0,0
1,2,3000,204732,0,0
3,2,1810,2159,0,0
2,1.75,1210,131115,0,0
3,1.75,1740,46580,0,0
4,3,3130,2646,0,1
5,2.75,2560,5618,0,1
3,1,1010,10168,0,0
2,1,840,12252,0,0
2,1,1300,11867,0,0
4,2.5,2940,156988,0,0
3,2.5,2660,206480,0,0
4,1.75,2020,16120,0,0
4,3.75,4090,24825,0,1
2,1.5,1008,26487,1,0
1,1,960,40946,0,0
4,2.5,2960,4760,0,1
3,3.25,1490,857,0,0
3,2.25,1480,97138,0,0
4,1.5,1890,10707,0,0
2,2,1410,12282,0,0
3,3,2400,4000,0,0
4,2.75,2300,37533,0,0
3,1.5,1460,9908,0,0
3,1.75,2600,7668,0,0
3,1.5,1320,9750,0,0
3,1,1190,11120,0,0
4,1.75,2430,13211,0,0
3,2.5,2280,58712,0,0
3,1.75,2600,105587,0,0
2,1,1270,19602,0,0
3,2.5,1660,1545,0,0
3,2.75,3150,219978,0,0
2,1.5,980,5000,0,0
3,1.5,1510,9898,0,0
3,1,1030,9120,0,0
3,2.5,1480,7200,0,0
3,2,1760,43575,0,0
3,1.75,1580,19998,0,0
3,1,1470,7350,0,0
3,2,1380,8536,0,0
1,1,780,10235,0,0
3,1.5,1750,12500,0,0
4,2.5,3130,60467,0,0
3,1,1150,8050,0,0
3,1,940,9272,0,0
3,1.5,1050,57499,0,0
3,2.75,2830,505166,1,0
4,3.5,4860,23885,0,1
3,2.5,3360,218235,0,0
3,1,930,9900,0,0
3,1.75,1370,19550,0,0
3,1,1750,8820,0,0
3,2.25,1920,7840,0,0
2,1,940,15450,0,0
3,1.75,1630,9450,0,0
3,3.25,3710,38509,0,0
3,1.5,1180,9048,0,0
3,1,1050,5233,0,0
3,2.5,2030,7770,0,0
3,1,1350,7560,0,0
6,2.25,4910,6600,0,1
1,1,630,1362,0,0
2,1.5,1556,20000,0,0
2,1.75,1150,2723,0,0
3,1,1810,13068,0,0
2,1,1120,9912,0,0
3,1.75,2130,5489,0,0
3,1.5,1810,349351,0,0
3,2.25,1940,217800,0,0
2,1.75,1560,1750,0,0
4,2.25,1860,9576,0,0
3,1.5,1870,3300,0,0
2,1,900,7500,0,0
6,1,1730,2760,0,0
3,2.75,1840,68479,0,0
1,1,850,6567,0,0
3,2,2420,208652,0,0
2,1,1220,7250,0,0
4,1.75,2410,6000,0,1
3,3.25,1490,902,0,0
4,3.5,4210,18564,0,1
3,2.5,1980,2975,0,0
2,2.75,1992,10946,1,0
3,3.5,1540,1427,0,0
3,2.5,2680,327135,0,0
4,2.5,2490,11650,0,0
3,1.5,1140,4800,0,0
3,3.25,3786,38038,1,1
2,1,730,6728,0,0
4,2.25,2620,98881,0,0
3,1.75,1350,7588,0,0
3,1,1280,10500,0,0
5,2,3370,5000,0,0
3,1.75,1770,8235,0,0
3,1,1220,8119,0,0
3,1,1220,8119,0,0
3,2,1780,11342,0,0
3,1.75,1540,10400,0,0
3,3.5,1560,1490,0,0
4,5.5,7080,16573,0,1
3,1,1060,9954,0,0
3,0.75,490,38500,0,0
2,2.5,1360,2070,0,0
9,3,3680,4400,0,0
3,2,1880,3000,0,0
5,2.25,1970,15247,0,0
4,1.5,2130,8800,0,0
3,3,3290,80471,0,0
3,1.75,1340,196020,0,0
3,1,1340,21336,0,0
2,1,1120,88327,0,0
3,1,990,8255,0,0
3,1.75,2240,78225,0,0
3,1,1980,3243,0,0
5,5.75,9200,35069,0,1
3,2.25,1640,7630,0,0
2,3,2560,982278,0,0
4,2.75,3040,2800,0,0
5,1.75,1400,5071,0,0
3,2,2064,46173,0,0
3,2,3650,843309,0,0
3,3,3740,39640,0,0
3,1.75,1726,197326,0,0
3,1.75,2220,216493,0,0
5,2.5,2860,4000,0,1
2,1.5,1560,10807,0,0
4,2.5,2770,63118,0,0
3,2.5,1760,8584,0,0
7,2.75,3410,4056,0,0
2,1,1040,20524,0,0
3,1,1320,8500,0,0
5,3.75,6810,7500,0,1
4,2.25,1950,5950,0,0
4,2.5,2190,7125,0,0
3,1.75,1300,20700,0,0
3,1.75,1300,20700,0,0
4,2,1540,7575,0,0
4,1.75,2440,7350,0,0
4,2,1850,7560,0,0
2,1,2034,13392,1,0
4,3.5,5830,131116,0,1
2,1,1110,3500,0,0
3,1.75,1570,8750,0,0
2,2.5,1880,40575,0,0
3,1,1360,13000,0,0
4,3,2680,15438,0,1
4,1,1570,4000,0,0
5,1.5,1690,7725,0,0
3,2,2080,12972,0,0
4,2.75,2250,5700,0,0
2,3.25,3570,392475,0,0
3,1,960,10815,0,0
3,1.75,1730,7200,0,0
2,1,1100,27007,0,0
4,1.5,1730,7464,0,0
3,2,2360,118483,0,0
4,2.5,2690,32780,0,0
3,2.5,1370,7247,0,0
4,2,2580,4500,0,0
3,2.5,1990,20466,0,0
4,1.5,1530,9000,0,0
4,2,1470,7000,0,0
3,1,670,23522,0,0
2,1.5,1750,19709,0,0
5,1.5,1710,8100,0,0
3,2.5,1650,13816,0,0
3,2.75,2620,17919,0,1
3,2.25,1640,14374,0,0
2,0.75,1392,43710,0,0
3,1,920,7500,0,0
3,2,1420,9828,0,0
3,2.25,1880,100623,0,0
3,2,2570,159865,0,0
3,2.75,3900,111514,0,0
3,1.5,1390,48257,0,0
5,5,5450,20412,0,1
4,2,2280,39848,0,0
3,2.25,1920,7738,0,0
4,3.5,3840,85728,0,0
3,2.5,2480,37843,1,0
2,1,920,43560,0,0
4,3.5,2490,18042,0,0
2,2,1450,989,0,0
3,1.75,2000,12208,0,0
3,1,890,6488,0,0
4,2.5,4290,175421,0,0
2,0.75,1060,48292,1,0
3,1.5,1410,3600,0,0
3,3,4120,60392,0,0
3,3.5,1730,1349,0,0
3,2.5,1420,1438,0,0
6,3,2890,2370,0,0
3,2.25,1610,11920,0,0
3,2.5,2000,1950,0,0
2,1,750,7000,0,0
4,2.25,2240,9600,0,0
3,2.5,3680,203860,0,0
3,2.75,2930,218235,0,0
4,3,3160,10948,0,0
3,1.75,2080,87991,0,0
3,2.5,2200,3000,0,0
3,1.75,1500,15246,0,0
3,2.75,2600,12860,0,0
4,2.5,2430,6325,0,0
4,1.75,2360,6000,0,0
5,2.5,2870,16238,0,1
2,1,970,3400,0,0
5,4.25,4650,108464,0,0
3,2,1850,16535,0,0
3,2.75,2480,209199,0,0
3,1.75,1560,82328,0,0
2,2.75,2090,23962,0,0
3,2,1380,8682,0,0
4,3.25,3920,881654,0,1
2,2.25,1350,1248,0,0
3,2.5,1450,11480,0,0
3,2.5,1660,8125,0,0
3,1.5,1980,10203,0,0
7,4.5,6210,8856,0,1
2,1,1240,5500,0,0
3,2,1400,45738,0,0
4,2.75,3120,34040,0,0
4,3,3720,57499,0,0
4,3,3230,438213,0,0
6,8,12050,27600,0,1
2,1.75,1679,577605,0,0
2,1.5,1030,4500,0,0
3,2.5,1676,18778,0,0
4,3.25,3730,7071,0,1
3,1.75,1660,7210,0,0
5,1.75,1610,15246,0,0
4,2.5,2150,39449,0,0
3,2.75,2170,7900,0,0
5,2.25,2640,14959,0,1
3,2.5,2120,196995,0,0
3,1,1040,11900,0,0
3,1,1240,9300,0,0
2,1,1100,4160,0,0
4,2.25,1780,8820,0,0
3,1.75,1290,4811,0,0
3,2.5,2010,6857,0,0
3,1,1100,145490,0,0
3,1.5,1400,7582,0,0
4,2.25,2190,9020,0,0
3,2.25,1750,1572,0,0
3,2,1610,15005,0,0
3,1.5,1660,3190,0,0
4,1.5,2310,68824,0,0
3,2.25,1780,1429,0,0
2,1,960,223898,0,0
3,1,1060,7350,0,0
4,3.25,3580,43093,0,0
3,1.75,2020,215622,0,0
4,3.25,3100,3900,0,1
3,2.5,3970,263538,0,1
4,3.25,4580,4838,0,1
3,1.75,2720,149410,0,0
5,4.25,3380,7805,0,0
3,1,1230,171190,0,0
3,3.5,3870,3819,0,1
4,2.75,2200,122403,0,0
3,3.25,3410,25741,0,0
2,2,1651,18200,0,0
2,1,770,7000,0,0
3,1,1752,14626,0,0
3,2.5,3160,286181,0,0
3,2.75,2680,20104,0,1
5,2.5,2200,8500,0,0
2,1,1070,2880,0,0
3,2.5,2090,32718,1,0
3,1,1710,19115,0,0
3,1.75,1640,47044,0,0
3,2.25,1290,1182,0,0
4,2,2600,9000,0,0
3,2,2350,6000,0,0
4,2.5,2510,7992,0,0
5,2.75,2980,8500,0,0
3,2,2632,18743,0,0
3,2.5,2630,185130,0,0
4,1.5,1650,2970,0,0
4,3.5,3420,49223,0,0
4,2.5,2300,22445,0,0
3,0.75,770,7000,0,0
2,1.5,1995,115670,0,0
3,3.25,2420,1923,0,1
2,1,1210,10000,0,0
2,2.75,1100,1088,0,0
3,1.75,2930,266587,0,0
3,1.75,1890,32340,0,0
3,1.75,1590,7535,0,0
3,2.5,1730,4004,0,0
3,1.5,1952,8613,0,0
3,2,2350,209088,0,0
4,1.5,1780,8000,0,0
2,1.5,1040,83199,0,0
2,1,930,12724,0,0
3,2.5,2390,15084,0,0
3,3,3490,4500,0,1
5,3,2680,9624,0,0
4,2,1410,4480,0,0
4,2.5,2820,25995,0,0
4,3.5,3770,47480,0,0
3,2.25,3190,324086,0,0
2,1,1100,4000,0,0
3,2.5,2290,2798,0,0
3,1.75,1610,38707,0,0
3,2.25,2170,8480,0,0
3,2.5,2740,83199,0,0
3,1,1520,7800,0,0
3,1.75,1280,2147,0,0
3,2.5,2130,3545,0,1
4,2.5,3420,222156,0,0
4,4.25,5584,68257,0,1
6,7.75,9890,31374,0,1
3,2,2410,50654,0,0
1,1,1020,3200,0,0
2,1,990,57499,0,0
2,1,990,57499,0,0
3,1.75,1750,7020,0,0
3,2.5,2030,217805,0,0
3,1,1630,3200,0,0
4,1.5,1310,8250,0,0
4,1,1620,37075,0,0
3,1,1160,8320,0,0
3,1.5,1570,1050,0,0
3,2.5,1680,10300,0,0
3,1,1340,18000,0,0
4,2.5,2430,42646,0,0
3,1.5,1630,22764,0,0
4,2.25,2070,7350,0,0
1,1,920,91476,0,0
3,1.75,1970,10270,0,0
3,2.5,1720,4120,0,0
2,0.75,520,6862,0,0
3,3.5,3090,27598,0,0
3,1.5,1530,10827,0,0
4,4,5545,871200,0,0
3,2,2090,42689,0,0
3,2,1570,14992,0,0
3,1.75,1610,14000,0,0
3,2.25,2300,15952,0,1
4,2.25,2670,10050,0,0
3,2.5,1778,147823,0,0
4,3,2880,5500,0,1
3,2,2590,3750,0,0
2,1,990,45528,0,0
3,2.25,1610,10454,0,0
3,2.25,1880,7488,0,0
3,1,1370,5250,0,0
2,1.75,1320,13052,0,0
4,3.25,1946,17786,0,0
4,1.75,1680,15084,0,0
3,2,1140,6000,0,0
4,2.5,3870,50965,0,0
3,1.5,2680,4775,0,1
3,1,1570,9650,0,0
2,1,830,9000,0,0
2,1,830,9000,0,0
4,3.5,3980,209523,0,0
3,2.75,1830,208216,0,0
4,2.5,2210,9427,0,0
3,1.75,1840,2310,0,0
4,2.5,2120,215186,0,0
4,2.5,3410,179419,0,0
3,2.5,2490,4000,0,1
4,2.25,1900,10950,0,0
3,4.25,3300,308080,0,0
3,2.5,2060,4030,0,0
3,1.75,2000,12669,0,0
3,2.25,3200,3800,0,0
3,2,2350,266151,0,0
3,3,1420,991,0,0
3,1,1390,10500,0,0
2,2.25,1370,1248,0,0
2,2,1830,3600,0,0
4,1,1150,2560,0,0
2,1.75,1070,9750,0,0
4,2.25,2210,9371,0,0
5,4.5,6085,142725,0,1
4,2,5461,22880,0,0
5,2.25,2630,8625,0,0
3,2.5,3136,54450,0,0
2,1,860,10500,0,0
4,1.75,1820,13600,0,0
4,2.5,2390,9600,0,0
3,1.5,1760,4000,0,0
3,1.5,1250,7200,0,0
3,2.5,2010,14298,0,0
3,1.75,1640,53400,0,0
3,2.5,1420,14850,0,0
3,1.75,2310,7680,0,0
4,2.5,2040,21781,0,0
4,2.5,2040,21781,0,0
3,1,1090,10000,0,0
3,1,910,8789,0,0
2,2.5,1390,1132,0,0
3,2.25,1640,8400,0,0
4,1.75,3550,19865,0,1
4,1.75,2080,8750,0,0
3,1.5,1460,13503,0,0
3,3.5,1480,1077,0,0
3,1.75,1920,4000,0,0
3,2.25,2750,219542,0,0
3,1.75,1410,15134,0,0
4,1,1250,9102,0,0
2,2,1140,8400,0,0
4,2.25,2640,3000,0,1
4,3,3260,4500,0,1
3,2.25,1350,6775,0,0
3,1.75,1320,9675,0,0
4,2.75,2890,4000,0,0
3,1,890,9465,0,0
2,1,1110,3943,0,0
3,2.5,1730,4286,0,0
2,1,710,1173,0,0
4,3.5,3420,33106,0,0
3,1.5,1670,6988,0,0
3,3.5,3240,23522,0,0
4,3,3720,5000,0,1
5,3,4780,20440,0,1
4,2.5,3190,27806,0,0
5,2,2120,137565,0,0
3,1.75,1600,2538,0,0
4,1.75,4060,5500,0,1
3,1,1240,9198,0,0
2,2,1440,213008,0,0
4,2.5,1904,8200,0,0
3,3,3910,19023,0,0
1,0.75,470,15000,0,0
2,1,1300,39639,0,0
3,1.75,2040,273556,0,0
4,2.5,3320,244807,0,0
4,3.75,2400,3520,0,0
5,2.5,2660,6572,0,1
4,2,1810,42981,0,0
3,2.25,2020,21010,0,0
3,2.75,1820,52889,0,0
2,1,1120,2000,0,0
2,1.75,2260,280962,0,0
2,1.75,1170,976,0,0
3,1,1110,6000,0,0
5,3.5,3610,52595,0,0
3,2.5,2010,57934,0,0
3,2.5,2560,16420,0,0
4,3.25,3480,6000,0,1
4,1.75,2040,5000,0,1
3,1,1890,36300,0,0
4,2.25,1980,7081,0,0
3,1.75,1870,25157,0,0
4,1.75,1580,9382,0,0
3,2.5,2840,216493,0,0
3,1,1020,9147,0,0
3,2,1590,9912,0,0
2,1,1160,7500,0,0
3,1,1610,8500,0,0
3,1,1260,5000,0,0
3,2.5,2260,251460,0,0
2,1,1010,43056,0,0
3,2.5,2460,6600,0,0
4,2.75,1500,7036,0,0
3,1.5,1390,12500,0,0
3,1,1010,3520,0,0
4,3.25,3640,13530,0,1
3,1.75,2140,13598,0,0
4,3.5,4460,16953,0,1
4,1,1460,16638,0,0
4,3,3350,199253,0,0
4,3,3350,199253,0,0
3,1,1020,7538,0,0
2,2.25,2320,18919,1,0
4,2,2450,4400,0,0
4,2.25,2210,11700,0,0
3,1.75,1520,12246,0,0
3,1,1690,13825,0,0
2,2.25,2950,15593,0,1
5,2.5,2810,6000,0,1
3,1,1580,4000,0,0
4,1.75,1880,3720,0,0
2,2,2280,641203,0,0
3,2.5,2570,5000,0,1
3,1.75,1940,167125,1,0
4,3.5,2734,210201,0,0
3,1.75,1650,221720,0,0
3,2.25,3060,16000,0,1
4,1.5,1780,14810,0,0
2,1,930,7740,0,0
2,1,930,7740,0,0
3,3.25,3140,5445,0,1
4,1,1820,4000,0,0
4,2.5,2890,15067,0,0
3,1.75,2200,7200,0,0
3,3.25,2940,5432,0,1
4,2.75,3110,49765,0,0
4,3,2580,9601,0,0
3,2,2690,435600,0,0
3,1.75,1730,15003,0,0
4,2.5,2740,16007,0,1
2,2,2100,58488,0,0
3,1,1370,7500,0,0
3,1.75,2450,15001,0,0
2,1,760,5240,0,0
4,3.25,4430,21000,0,1
5,3,2230,4400,0,0
3,2.25,1580,16215,0,0
3,1.75,1860,48076,0,0
3,1.75,2130,4400,0,0
3,1.5,1150,27319,0,0
3,1.75,2060,3300,0,0
4,1,1410,7000,0,0
3,1,970,7700,0,0
3,1.75,1500,19113,0,0
3,2.5,1850,17808,0,0
4,3.75,4150,17424,0,1
3,1.75,1250,9486,0,0
4,1.5,1980,113691,0,0
3,2.75,2170,2738,0,0
4,2.5,2370,15336,0,0
5,1.75,2080,217800,0,0
3,1.75,1560,26099,0,0
3,2,3570,30456,0,1
2,1.5,1300,2970,0,0
2,1.75,1550,7764,1,0
5,3.25,3800,15500,0,0
4,2.25,2630,4000,0,1
4,2,2240,9240,0,0
3,1,1340,18552,0,0
3,2.5,1860,21876,0,0
4,2.5,3600,155509,0,0
3,2,2930,29136,0,0
3,1,1580,3840,0,0
3,1,1190,85226,0,0
3,1.75,1580,9750,0,0
4,2.5,3400,247421,0,0
3,2.5,3150,21893,0,0
3,2.5,3110,9930,0,1
3,2.25,2280,200811,0,0
2,2,1494,19271,1,0
3,1,1210,103237,0,0
3,2.5,2450,4400,0,0
2,1,1330,92782,0,0
3,2.25,2100,205603,0,0
4,2.5,2540,8400,0,0
3,2.25,1740,7345,0,0
4,1.5,2740,4000,0,1
4,1.75,1860,9112,0,0
7,4.25,4670,23115,0,1
4,1.5,2500,6300,0,0
3,1,1130,10018,0,0
3,1.75,1850,26445,0,0
3,1.5,1580,8184,0,0
4,2.75,2440,7150,0,0
3,2.5,2040,6000,0,0
3,1.75,1720,9775,0,0
3,1.75,1720,9775,0,0
2,1.5,1800,4500,0,0
4,1.75,2000,6000,0,0
3,2.25,2390,2750,0,0
3,2,1720,2000,0,0
4,3.25,4830,22257,1,1
3,1,1290,12415,0,0
3,2.5,1550,1092,0,0
4,2.5,3240,3600,0,1
4,2.75,2950,49658,0,0
4,1.5,2170,9948,0,0
4,3.75,3520,3944,0,1
3,2.5,2210,70567,0,0
3,1.5,2000,15265,0,0
3,1.5,1240,9975,0,0
3,2.5,2840,48716,0,0
2,1,960,21850,0,0
4,2.5,2670,8279,0,0
4,1,1740,37238,0,0
4,2.25,2670,9040,0,0
3,1,1120,32250,0,0
3,2.5,1370,1911,0,0
2,1,960,87991,0,0
4,3.25,4040,18916,0,1
3,1.5,1010,7755,0,0
3,1,1360,9948,0,0
3,1,1040,4480,0,0
3,2.5,1950,18533,0,0
2,1,930,10505,0,0
3,2.5,2750,226512,0,0
3,2.5,3230,129578,0,0
3,2.5,1995,1483,0,0
4,1.5,1220,9600,0,0
4,1.75,1900,22896,0,0
3,1,940,7125,0,0
4,2.25,2350,17709,0,1
5,3.25,2800,3200,0,1
3,2.25,3170,5000,0,1
4,3.5,5550,28078,0,1
3,2.5,1690,10336,0,0
3,2.5,950,1110,0,0
2,0.75,660,5240,0,0
4,2.5,2390,4200,0,1
4,3,2150,8119,0,1
2,1,840,7200,0,0
2,1,710,1136,0,0
2,1,1240,27042,0,0
3,1.75,1200,55321,0,0
3,2.5,1740,22089,0,0
4,1,1200,11834,1,0
5,2,2360,19899,0,0
4,2.25,2010,7280,0,0
2,2.25,2770,11884,0,0
1,1,1090,32010,0,0
4,1.75,2470,131790,0,0
3,2,1340,9750,0,0
2,1,910,9753,0,0
2,1,860,5080,0,0
2,2.25,1730,31491,1,0
3,1,1010,25000,0,0
2,1,1010,5408,0,0
4,4.5,4300,19844,0,1
2,1,1160,32251,0,0
4,1.5,1470,70800,0,0
4,2.5,1990,9656,0,0
4,2,2180,17180,0,0
3,1.75,1690,6375,0,0
3,1.75,1610,144619,0,0
4,2.25,3060,48787,0,0
3,2,1190,10299,0,0
3,1,1140,3240,0,0
3,0.75,1030,12700,0,0
3,2.5,2690,21883,0,0
4,4.5,4240,13162,0,1
4,1,2300,9583,0,0
3,2.5,1480,9743,0,0
4,2,1590,6750,0,0
3,1.75,2190,3800,0,0
3,1.75,1070,7200,0,0
3,2.5,1650,13816,0,0
3,2.5,2960,69351,1,0
4,3.5,4270,117176,0,0
5,2.75,3090,19865,0,1
4,2.75,3260,19542,0,1
3,1.75,1550,9720,0,0
3,2.5,3550,136343,0,0
2,2,1090,934,0,0
2,1,710,1164794,0,0
2,1,1040,13100,0,0
5,1.75,1930,501376,0,0
2,1,590,10945,0,0
3,1.5,1890,5000,0,0
2,2.25,1600,80400,0,0
3,2.5,1070,1155,0,0
4,4.25,4960,6000,0,1
3,1,830,9600,0,0
4,2.5,2800,246114,0,0
5,3,3730,5500,0,0
2,1,770,2971,0,0
3,1.75,1800,23103,0,0
3,1.75,2340,5500,0,0
4,3.25,4200,210394,0,1
4,2,1880,14653,0,0
3,2.75,2240,3600,0,0
3,3,2060,3200,0,0
3,3.25,2970,234788,0,0
4,2.5,2040,5523,0,0
3,1.5,1260,7964,0,0
4,2.25,2400,7738,0,0
3,2.5,1656,108900,0,0
4,5.25,6500,14986,0,1
2,1.75,1980,44550,0,0
4,1.75,2140,49658,0,0
3,2,2070,9600,0,1
2,1,570,81893,0,0
3,1.5,1010,10350,0,0
2,0.75,840,40642,1,0
2,1,1180,10200,0,0
2,2.25,3170,3000,0,1
3,1,2230,3200,0,0
4,2.25,2920,46355,0,0
1,1,1060,54846,1,0
4,5.25,5240,320917,0,1
3,2,1560,3200,0,0
3,2,1640,13249,0,0
3,2.5,2235,43560,0,0
3,2.5,2200,1970,0,1
0,0.75,384,213444,0,0
3,3.5,3600,37982,0,0
2,1,1090,3160,0,0
3,2,2660,257875,0,0
2,1,1450,7098,0,0
3,2.75,2260,4000,0,0
5,2.5,1660,4000,0,0
3,2,1670,17071,0,0
3,1.75,1430,53628,0,0
4,2.25,2000,10679,0,0
3,1,920,8400,0,0
4,2.25,2250,12000,0,0
3,1.75,2700,18893,0,0
4,1.75,1320,7694,0,0
3,1.5,1180,7384,0,0
4,2.75,1970,37026,0,0
3,1.5,1400,14850,0,0
3,2.5,2680,87117,0,0
3,1.5,1030,8223,0,0
5,3.5,2990,212137,0,0
3,1.75,2610,6360,0,1
2,1,1130,2640,0,0
3,3.5,4660,5500,0,1
2,1,1130,15190,0,0
3,1.75,2060,58341,0,0
5,3,4290,20445,0,1
4,2.25,2140,8800,0,0
4,2.25,3250,16684,0,1
3,1,940,11055,0,0
4,2.5,3070,34412,0,1
3,1.75,1480,8009,0,0
4,3,2240,6000,0,1
5,2,2940,5500,0,0
2,1,830,26329,1,0
4,3.5,3400,234352,0,0
2,1,1500,4000,0,0
3,1.75,2190,17550,0,0
3,1.5,1980,4000,0,0
2,1.75,2040,28593,1,0
4,1.5,3160,19745,0,0
5,6,5490,19897,0,1
4,3.5,3110,6829,0,0
6,2.5,2000,7650,0,0
3,1,960,213008,0,0
4,3.25,3990,18115,0,1
3,1,1200,8470,0,0
3,3.5,1650,1577,0,0
2,1,880,4814,0,0
2,2,1200,1867,0,0
3,1,1200,7280,0,0
4,3.5,4065,18713,0,1
4,3.25,3770,4103,0,1
0,0,290,20875,0,0
5,1.5,1820,8712,0,0
3,1.75,1810,34500,0,0
4,1,1390,18000,0,0
2,1,940,6000,0,0
3,1.75,1950,15037,0,0
3,2,2440,23512,0,0
3,2,2100,31550,0,0
3,1,1300,6098,0,0
4,3.5,2860,2199,0,1
3,3.25,3890,3452,0,1
4,2.5,2610,7227,0,0
5,3.5,4000,9234,0,0
2,1.75,1728,95950,0,0
2,2.5,1611,2210,0,0
3,2.75,2600,64626,0,0
3,2.5,1380,1389,0,0
3,2.5,3490,28213,0,0
3,2.5,1660,1344,0,0
3,2.5,1300,1590,0,0
2,1,710,1131,0,0
5,5.25,3410,8118,0,1
3,3.25,1510,2064,0,0
3,2.75,2990,207781,0,0
4,3.5,3720,213073,0,0
2,1.75,1180,904,0,0
5,4.5,4000,6713,0,0
3,1.75,1444,249126,0,0
4,5.5,6530,871200,0,1
2,1.75,1180,900,0,0
4,2.5,2229,5723,0,0
3,2.5,1480,1485,0,0
2,2.25,1060,1209,0,0
2,2,1490,713,0,0
2,2.5,1680,1240,0,0
2,2.25,1060,1208,0,0
4,3,2530,10000,0,0
3,2,1720,15000,0,0
3,2.25,1300,907,0,0
4,3,2770,2650,0,1
3,2.75,1540,1251,0,0
3,2.5,1820,374616,0,0
3,3,3180,2758,0,1
2,2.5,1990,1756,0,0
6,2.25,3206,5793,0,0
3,3,1384,1287,0,0
3,3.25,1610,1275,0,0
3,3.25,1690,1473,0,0
3,3.25,3530,4920,0,1
3,2.5,1500,1119,0,0
3,2,1420,1369,0,0
5,4,5190,14600,0,1
3,2.5,1990,1891,0,1
3,2.5,3150,151588,0,0
2,1.75,1160,2500,0,0
3,1.75,1370,1990,0,0
3,1.5,1680,8000,0,0
4,2.5,2990,7928,0,0
3,1.5,2580,47480,0,0
3,1.75,1790,66250,0,0
4,3.25,3540,159430,0,0
4,4,4620,130208,0,1
4,3.75,3790,8797,0,1
4,3,1670,2642,0,0
2,1,710,1157,0,0
3,1.75,1500,11968,0,0
